"CO.Fabrica","CO.Cliente","rota_fabrica_cliente","custo_unit_rota_24","Demanda","Producao","Qtd.Transp_Otim_24","Vlr.Frete_Otim_24"
"3403208","2301","3403208 - 2301",0.5941795833333333,5973721,90000000,5973721.0,3549463.054729583
"3403208","2302","3403208 - 2302",0.5402741166666666,1778080,90000000,1778080.0,960650.6013626665
"3403208","2303","3403208 - 2303",0.45803041666666666,5958798,90000000,5958798.0,2729310.7307725
"3403208","2304","3403208 - 2304",0.4974297961608776,896173,90000000,896173.0,445783.15271488216
"3403208","2305","3403208 - 2305",0.5349871569529652,3241494,90000000,3241494.0,1734157.6593400948
"3403208","2306","3403208 - 2306",0.5864989354330709,3244827,90000000,3244827.0,1903087.581164485
"3403208","2307","3403208 - 2307",0.5559699833333333,12738726,90000000,12738726,7082349.281907899
"3403208","2308","3403208 - 2308",0.5836734810892588,6792503,90000000,6792503.0,3964603.8713192334
"3403208","2309","3403208 - 2309",0.45656882971841706,7471374,90000000,7471374.0,3411196.4835686083
"3403208","2310","3403208 - 2310",0.7546376790123457,2098730,90000000,0.0,0.0
"3403208","2311","3403208 - 2311",0.39468317304060435,7295028,90000000,7295028.0,2879224.7984600537
"3403208","2312","3403208 - 2312",0.8346928139906923,1350774,90000000,1350774.0,1127481.3511254634
"3403208","2313","3403208 - 2313",0.8087086874999999,1439856,90000000,1439856.0,1164424.055949
"3403208","2314","3403208 - 2314",0.753393,3977784,90000000,3977784.0,2996834.6211119997
"3403208","2315","3403208 - 2315",0.8832318969594595,3666906,90000000,3666906.0,3238728.342352024
"3403208","2316","3403208 - 2316",0.8907427245011087,271034,90000000,271034.0,241421.5635924335
"3403208","2317","3403208 - 2317",0.8849543888888889,1272373,90000000,1272373.0,1125992.0706537222
"3403208","2318","3403208 - 2318",0.8848504112619408,569236,90000000,569236.0,503688.7087051021
"3403208","2319","3403208 - 2319",0.7331269525641027,1589336,90000000,0.0,0.0
"3403208","2320","3403208 - 2320",0.7718666666666666,5063433,90000000,0.0,0.0
"3403208","2321","3403208 - 2321",0.8109305555555557,10686204,90000000,0.0,0.0
"3403208","2322","3403208 - 2322",0.7317563830868762,2495205,90000000,0.0,0.0
"3403208","2323","3403208 - 2323",0.7874416666666667,1753764,90000000,0.0,0.0
"3403208","2324","3403208 - 2324",0.7534357862021859,20427048,90000000,0.0,0.0
"3403208","2325","3403208 - 2325",0.6701520000000001,7828763,90000000,0.0,0.0
"3403208","2326","3403208 - 2326",0.7400602845303869,5788209,90000000,0.0,0.0
"3403208","2327","3403208 - 2327",0.7640279908693416,11836544,90000000,0.0,0.0
"3403208","2328","3403208 - 2328",0.7646253014520202,6145143,90000000,0.0,0.0
"3403208","2329","3403208 - 2329",0.80115875,13860432,90000000,0.0,0.0
"3403208","2330","3403208 - 2330",0.8021346136363636,3482379,90000000,0.0,0.0
"3403208","2331","3403208 - 2331",0.7371139486970685,4084642,90000000,0.0,0.0
"3403208","2332","3403208 - 2332",0.7225024015151515,10839219,90000000,0.0,0.0
"3403208","2333","3403208 - 2333",0.7090730208333333,1336988,90000000,0.0,0.0
"3403208","2334","3403208 - 2334",0.7246545769230769,1898750,90000000,0.0,0.0
"3403208","2335","3403208 - 2335",0.731866591170324,14197671,90000000,0.0,0.0
"3403208","2336","3403208 - 2336",,1716192,90000000,0.0,0.0
"3403208","2337","3403208 - 2337",,827342,90000000,0.0,0.0
"3403208","2338","3403208 - 2338",,2539443,90000000,0.0,0.0
"3403208","2339","3403208 - 2339",0.9241318333333334,1789064,90000000,1552142.0,1434383.8320536667
"3403208","2340","3403208 - 2340",1.0276936992521366,973767,90000000,0.0,0.0
"3403208","2341","3403208 - 2341",0.9692693187732342,5304924,90000000,0.0,0.0
"3403208","2342","3403208 - 2342",0.9600673340445709,838856,90000000,0.0,0.0
"3403208","2343","3403208 - 2343",1.0414173365542765,8150094,90000000,0.0,0.0
"3403208","2344","3403208 - 2344",0.6704711875364857,678417,90000000,678417.0,454859.05163494
"3403208","2345","3403208 - 2345",0.6743268441883767,3600095,90000000,3600095.0,2427640.700128354
"3403208","2346","3403208 - 2346",0.677789765625,3522678,90000000,3522678.0,2387635.095992344
"3403208","2347","3403208 - 2347",0.29710627229299363,3675315,90000000,3675315.0,1091959.1391525238
"3403208","2348","3403208 - 2348",0.30102818000000003,1310374,90000000,1310374.0,394459.50033932005
"3403208","2349","3403208 - 2349",0.31734243333333334,1761137,90000000,1761137.0,558883.5010133666
"3403208","2350","3403208 - 2350",0.3762048391693811,4402893,90000000,4402893.0,1656389.6529449937
"3403208","2351","3403208 - 2351",0.4386450833333333,1331761,90000000,1331761.0,584170.4148250833
"3424402","2301","3424402 - 2301",0.44849195854591833,5973721,90000000,0.0,0.0
"3424402","2302","3424402 - 2302",0.40261300470669836,1778080,90000000,0.0,0.0
"3424402","2303","3424402 - 2303",0.3973628365059222,5958798,90000000,0.0,0.0
"3424402","2304","3424402 - 2304",0.42603143653516296,896173,90000000,0.0,0.0
"3424402","2305","3424402 - 2305",0.429883286285872,3241494,90000000,0.0,0.0
"3424402","2306","3424402 - 2306",0.39559302080162356,3244827,90000000,0.0,0.0
"3424402","2307","3424402 - 2307",0.4539392170176713,12738726,90000000,0.0,0.0
"3424402","2308","3424402 - 2308",0.39181653903903907,6792503,90000000,0.0,0.0
"3424402","2309","3424402 - 2309",0.5050822770456828,7471374,90000000,0.0,0.0
"3424402","2310","3424402 - 2310",0.2999562676399027,2098730,90000000,2098730.0,629527.217583893
"3424402","2311","3424402 - 2311",0.591517585774918,7295028,90000000,0.0,0.0
"3424402","2312","3424402 - 2312",,1350774,90000000,0.0,0.0
"3424402","2313","3424402 - 2313",,1439856,90000000,0.0,0.0
"3424402","2314","3424402 - 2314",,3977784,90000000,0.0,0.0
"3424402","2315","3424402 - 2315",,3666906,90000000,0.0,0.0
"3424402","2316","3424402 - 2316",,271034,90000000,0.0,0.0
"3424402","2317","3424402 - 2317",,1272373,90000000,0.0,0.0
"3424402","2318","3424402 - 2318",,569236,90000000,0.0,0.0
"3424402","2319","3424402 - 2319",0.3048913767123288,1589336,90000000,1589336.0,484574.8410984658
"3424402","2320","3424402 - 2320",0.29791455555555557,5063433,90000000,5063433.0,1508470.3917803334
"3424402","2321","3424402 - 2321",0.2927248333333334,10686204,90000000,10686204,3128117.2848660005
"3424402","2322","3424402 - 2322",0.305822193901717,2495205,90000000,2495205.0,763089.0673345338
"3424402","2323","3424402 - 2323",0.2666619375,1753764,90000000,1753764.0,467662.10615775
"3424402","2324","3424402 - 2324",0.31149842499999997,20427048,90000000,8939772.0,2784724.8978591
"3424402","2325","3424402 - 2325",0.28834881250000005,7828763,90000000,0.0,0.0
"3424402","2326","3424402 - 2326",0.3020825277985074,5788209,90000000,5788209.0,1748516.8061460708
"3424402","2327","3424402 - 2327",0.22551585000000002,11836544,90000000,11836544,2669328.2812224003
"3424402","2328","3424402 - 2328",0.3258862362459547,6145143,90000000,6145143.0,2002617.5234631747
"3424402","2329","3424402 - 2329",0.28705271875000005,13860432,90000000,13860432,3978674.6886495007
"3424402","2330","3424402 - 2330",0.3112101666666667,3482379,90000000,3482379.0,1083751.7489865
"3424402","2331","3424402 - 2331",0.2976626917129263,4084642,90000000,4084642.0,1215845.5324036707
"3424402","2332","3424402 - 2332",0.28474254861111115,10839219,90000000,10839219,3086386.8430139795
"3424402","2333","3424402 - 2333",0.29357086111111114,1336988,90000000,1336988.0,392500.71845522226
"3424402","2334","3424402 - 2334",0.30939526196808514,1898750,90000000,0.0,0.0
"3424402","2335","3424402 - 2335",0.313038143359375,14197671,90000000,0.0,0.0
"3424402","2336","3424402 - 2336",0.7581057871591909,1716192,90000000,0.0,0.0
"3424402","2337","3424402 - 2337",0.7420770923913045,827342,90000000,0.0,0.0
"3424402","2338","3424402 - 2338",0.738330783243888,2539443,90000000,0.0,0.0
"3424402","2339","3424402 - 2339",,1789064,90000000,0.0,0.0
"3424402","2340","3424402 - 2340",,973767,90000000,0.0,0.0
"3424402","2341","3424402 - 2341",,5304924,90000000,0.0,0.0
"3424402","2342","3424402 - 2342",,838856,90000000,0.0,0.0
"3424402","2343","3424402 - 2343",,8150094,90000000,0.0,0.0
"3424402","2344","3424402 - 2344",0.503349266152087,678417,90000000,0.0,0.0
"3424402","2345","3424402 - 2345",0.5154327477650064,3600095,90000000,0.0,0.0
"3424402","2346","3424402 - 2346",0.4984854848484849,3522678,90000000,0.0,0.0
"3424402","2347","3424402 - 2347",0.9458910097451274,3675315,90000000,0.0,0.0
"3424402","2348","3424402 - 2348",1.011760923277983,1310374,90000000,0.0,0.0
"3424402","2349","3424402 - 2349",1.1073612083333335,1761137,90000000,0.0,0.0
"3424402","2350","3424402 - 2350",1.0689830446078432,4402893,90000000,0.0,0.0
"3424402","2351","3424402 - 2351",1.139495,1331761,90000000,0.0,0.0
"3423909","2301","3423909 - 2301",,5973721,56000000,0.0,0.0
"3423909","2302","3423909 - 2302",,1778080,56000000,0.0,0.0
"3423909","2303","3423909 - 2303",,5958798,56000000,0.0,0.0
"3423909","2304","3423909 - 2304",,896173,56000000,0.0,0.0
"3423909","2305","3423909 - 2305",0.2745861681659171,3241494,56000000,0.0,0.0
"3423909","2306","3423909 - 2306",,3244827,56000000,0.0,0.0
"3423909","2307","3423909 - 2307",,12738726,56000000,0.0,0.0
"3423909","2308","3423909 - 2308",0.27744344693333334,6792503,56000000,0.0,0.0
"3423909","2309","3423909 - 2309",0.2854758890410959,7471374,56000000,0.0,0.0
"3423909","2310","3423909 - 2310",0.3138917988952537,2098730,56000000,0.0,0.0
"3423909","2311","3423909 - 2311",0.27978540126811596,7295028,56000000,0.0,0.0
"3423909","2312","3423909 - 2312",,1350774,56000000,0.0,0.0
"3423909","2313","3423909 - 2313",,1439856,56000000,0.0,0.0
"3423909","2314","3423909 - 2314",,3977784,56000000,0.0,0.0
"3423909","2315","3423909 - 2315",,3666906,56000000,0.0,0.0
"3423909","2316","3423909 - 2316",,271034,56000000,0.0,0.0
"3423909","2317","3423909 - 2317",,1272373,56000000,0.0,0.0
"3423909","2318","3423909 - 2318",,569236,56000000,0.0,0.0
"3423909","2319","3423909 - 2319",,1589336,56000000,0.0,0.0
"3423909","2320","3423909 - 2320",,5063433,56000000,0.0,0.0
"3423909","2321","3423909 - 2321",,10686204,56000000,0.0,0.0
"3423909","2322","3423909 - 2322",,2495205,56000000,0.0,0.0
"3423909","2323","3423909 - 2323",,1753764,56000000,0.0,0.0
"3423909","2324","3423909 - 2324",0.30147359375,20427048,56000000,11487276,3463110.378118125
"3423909","2325","3423909 - 2325",0.25947250000000005,7828763,56000000,7828763.0,2031348.7075175005
"3423909","2326","3423909 - 2326",0.3148897561775088,5788209,56000000,0.0,0.0
"3423909","2327","3423909 - 2327",0.29467235,11836544,56000000,0.0,0.0
"3423909","2328","3423909 - 2328",0.32905017331629977,6145143,56000000,0.0,0.0
"3423909","2329","3423909 - 2329",0.34393737360932825,13860432,56000000,0.0,0.0
"3423909","2330","3423909 - 2330",0.45894937546816483,3482379,56000000,0.0,0.0
"3423909","2331","3423909 - 2331",0.30760595126548196,4084642,56000000,0.0,0.0
"3423909","2332","3423909 - 2332",0.3635674583333333,10839219,56000000,0.0,0.0
"3423909","2333","3423909 - 2333",0.628467,1336988,56000000,0.0,0.0
"3423909","2334","3423909 - 2334",0.2860564899082569,1898750,56000000,1898750.0,543149.7602133028
"3423909","2335","3423909 - 2335",0.28602313519637457,14197671,56000000,14197671,4060862.3719066465
"3423909","2336","3423909 - 2336",0.5077591681034483,1716192,56000000,1716192.0,871412.2222257932
"3423909","2337","3423909 - 2337",0.4916427940019666,827342,56000000,827342.0,406756.73247517506
"3423909","2338","3423909 - 2338",0.4873910654406893,2539443,56000000,2539443.0,1237701.8293959002
"3423909","2339","3423909 - 2339",0.5848379444444445,1789064,56000000,236922.0,138560.97547366668
"3423909","2340","3423909 - 2340",0.644043351799687,973767,56000000,973767.0,627148.1625519258
"3423909","2341","3423909 - 2341",0.6080411510683761,5304924,56000000,5304924.0,3225612.095290254
"3423909","2342","3423909 - 2342",0.6014505120179608,838856,56000000,838856.0,504530.3707093386
"3423909","2343","3423909 - 2343",0.6439166673900463,8150094,56000000,8150094.0,5247981.3673956115
"3423909","2344","3423909 - 2344",,678417,56000000,0.0,0.0
"3423909","2345","3423909 - 2345",,3600095,56000000,0.0,0.0
"3423909","2346","3423909 - 2346",,3522678,56000000,0.0,0.0
"3423909","2347","3423909 - 2347",0.7224223945972021,3675315,56000000,0.0,0.0
"3423909","2348","3423909 - 2348",0.7583914448005699,1310374,56000000,0.0,0.0
"3423909","2349","3423909 - 2349",0.6443832500000001,1761137,56000000,0.0,0.0
"3423909","2350","3423909 - 2350",0.720127474973376,4402893,56000000,0.0,0.0
"3423909","2351","3423909 - 2351",0.6697755750000001,1331761,56000000,0.0,0.0
