"CO.Cliente","CO.Fabrica","rota_fabrica_cliente","Demanda","Producao","Qtd.Transp","Vlr.Frete","custo_unit_rota","custo_min_rota","custo_max_rota","km_api"
"2301","3403208","3403208 - 2301",5973721,90000000,13500,7478.87,0.5658853174603174,0.4564375,0.6633666666666667,193.55
"2301","3424402","3424402 - 2301",5973721,90000000,2784300,1104629.22,0.4271351986151603,0.21705555555555553,0.7075933333333334,145.62
"2302","3403208","3403208 - 2302",1778080,90000000,10500,4798.59,0.5145467777777777,0.27132222222222224,0.6302066666666666,182.669
"2302","3424402","3424402 - 2302",1778080,90000000,1826100,642443.62,0.38344095686352225,0.21705555555555556,0.4606733333333333,141.311
"2303","3403208","3403208 - 2303",5958798,90000000,16200,6795.69,0.43621944444444444,0.3125611111111111,0.5962388888888889,187.278
"2303","3424402","3424402 - 2303",5958798,90000000,1258500,447998.52,0.37844079667230685,0.23321388888888894,0.7033666666666666,141.46
"2304","3403208","3403208 - 2304",896173,90000000,1199100,520950.17,0.4737426630103596,0.27132222222222224,0.5751055555555555,178.496
"2304","3424402","3424402 - 2304",896173,90000000,1240800,466423.78,0.40574422527158377,0.2454888888888889,0.47883333333333333,146.051
"2305","3403208","3403208 - 2305",3241494,90000000,1395900,654291.37,0.509511578050443,0.27132222222222224,0.5986933333333333,180.193
"2305","3423909","3423909 - 2305",3241494,56000000,1116900,284852.13,0.2615106363484924,0.18399166666666666,0.3684666666666667,71.375
"2305","3424402","3424402 - 2305",3241494,90000000,3201300,1211897.85,0.40941265360559237,0.21705555555555553,0.48492,147.748
"2306","3403208","3403208 - 2306",3244827,90000000,1332000,690396.09,0.5585704146981627,0.3125611111111111,0.6633666666666667,194.211
"2306","3424402","3424402 - 2306",3244827,90000000,1393500,492401.87,0.37675525790630815,0.23321388888888891,0.7033666666666666,138.681
"2307","3403208","3403208 - 2307",12738726,90000000,10500,5319.67,0.5294952222222221,0.4107916666666666,0.6302066666666666,183.626
"2307","3424402","3424402 - 2307",12738726,90000000,2877000,1159201.27,0.4323230638263536,0.25005,0.5095777777777778,146.178
"2308","3403208","3403208 - 2308",6792503,90000000,1400100,721248.73,0.555879505799294,0.3125611111111111,0.6633666666666667,195.864
