CO.Cliente,CO.Fabrica,rota_fabrica_cliente,Demanda,Producao,Qtd.Transp,custo_unit_rota,km_api,Vlr.Frete_simul
2301,3403208,3403208 - 2301,5973721,90000000,13500,0.5658853174603174,193.55,7639.4517857142855
2301,3424402,3424402 - 2301,5973721,90000000,6023521,0.4271351986151603,145.62,2572857.838697589
2302,3403208,3403208 - 2302,1778080,90000000,10500,0.5145467777777777,182.669,5402.741166666666
2302,3424402,3424402 - 2302,1778080,90000000,1826100,0.38344095686352225,141.311,700201.531328478
2303,3403208,3403208 - 2303,5958798,90000000,16200,0.43621944444444444,187.278,7066.755
2303,3424402,3424402 - 2303,5958798,90000000,5971998,0.3784407966723069,141.46,2260047.6808454236
2304,3403208,3403208 - 2304,896173,90000000,1199100,0.4737426630103596,178.496,568064.8272157222
2304,3424402,3424402 - 2304,896173,90000000,1240800,0.40574422527158377,146.051,503447.43471698114
2305,3403208,3403208 - 2305,3241494,90000000,1395900,0.509511578050443,180.193,711227.2118006134
2305,3423909,3423909 - 2305,3241494,56000000,1116900,0.2615106363484924,71.375,292081.22973763116
2305,3424402,3424402 - 2305,3241494,90000000,3201300,0.40941265360559237,147.748,1310652.7279875828
2306,3403208,3403208 - 2306,3244827,90000000,1619713,0.5585704146981627,194.211,904723.7621020052
2306,3424402,3424402 - 2306,3244827,90000000,1681213,0.3767552579063082,138.681,633405.8374104381
2307,3403208,3403208 - 2307,12738726,90000000,10500,0.5294952222222221,183.626,5559.699833333332
2307,3424402,3424402 - 2307,12738726,90000000,12778326,0.4323230638263536,146.178,5524365.046891954
2308,3403208,3403208 - 2308,6792503,90000000,2407467,0.555879505799294,195.864,1338261.5661881089
2308,3423909,3423909 - 2308,6792503,56000000,2049867,0.26423185422222223,72.623,541640.158318944
2308,3424402,3424402 - 2308,6792503,90000000,2411067,0.37315860860860867,137.757,899710.4069821322
2309,3403208,3403208 - 2309,7471374,90000000,1037058,0.4348274568746829,150.529,450941.2927715449
2309,3423909,3423909 - 2309,7471374,56000000,791658,0.27188179908675797,85.088,215237.40130142463
2309,3424402,3424402 - 2309,7471374,90000000,5815758,0.4810307400435074,175.727,2797558.3746539485
2310,3403208,3403208 - 2310,2098730,90000000,817500,0.7187025514403292,269.701,587539.3358024692
2310,3423909,3423909 - 2310,2098730,56000000,2517000,0.2989445703764321,101.813,752443.4836374795
2310,3424402,3424402 - 2310,2098730,90000000,693900,0.28567263584752633,86.725,198228.24201459854
2311,3403208,3403208 - 2311,7295028,90000000,1807776,0.375888736229147,138.038,679522.6360253824
2311,3423909,3423909 - 2311,7295028,56000000,1380576,0.2664622869220152,71.15,367871.43822964805
2311,3424402,3424402 - 2311,7295028,90000000,4254876,0.563350081690398,208.774,2396984.742182514
2312,3403208,3403208 - 2312,1350774,90000000,1372374,0.7949455371339926,318.68,1090962.586578726
2313,3403208,3403208 - 2313,1439856,90000000,9900,0.7701987499999999,331.057,7624.967624999999
2314,3403208,3403208 - 2314,3977784,90000000,37200,0.7175171428571429,327.95,26691.637714285713
2315,3403208,3403208 - 2315,3666906,90000000,3698706,0.8411732351994852,331.255,3111252.492071747
2316,3403208,3403208 - 2316,271034,90000000,939300,0.8483264042867702,328.759,796832.9915465632
2317,3403208,3403208 - 2317,1272373,90000000,1273873,0.8428137037037037,331.827,1073637.621178148
2318,3403208,3403208 - 2318,569236,90000000,1474200,0.8427146773923245,339.745,1242329.977411765
2319,3403208,3403208 - 2319,1589336,90000000,1073400,0.6982161452991453,264.497,749465.2103641026
2319,3424402,3424402 - 2319,1589336,90000000,976800,0.2903727397260274,83.083,283636.09216438356
2320,3403208,3403208 - 2320,5063433,90000000,9000,0.735111111111111,266.947,6615.999999999999
2320,3424402,3424402 - 2320,5063433,90000000,17400,0.2837281481481482,95.171,4936.869777777778
2321,3403208,3403208 - 2321,10686204,90000000,14400,0.7723148148148149,266.268,11121.333333333334
2321,3424402,3424402 - 2321,10686204,90000000,10673304,0.27878555555555556,94.502,2975562.9852533336
2322,3403208,3403208 - 2322,2495205,90000000,1325602,0.6969108410351201,264.79,923826.4046978373
2322,3424402,3424402 - 2322,2495205,90000000,1235602,0.2912592322873495,89.134,359880.4899327136
2323,3403208,3403208 - 2323,1753764,90000000,9000,0.7499444444444444,274.717,6749.5
2323,3424402,3424402 - 2323,1753764,90000000,9900,0.25396375,102.941,2514.241125
2324,3403208,3403208 - 2324,20427048,90000000,10978374,0.7175578916211295,275.424,7877618.900868226
2324,3423909,3423909 - 2324,20427048,56000000,16800,0.28711770833333333,100.893,4823.5775
2324,3424402,3424402 - 2324,20427048,90000000,9463674,0.29666516666666665,103.64799999999998,2807542.424489
2325,3403208,3403208 - 2325,7828763,90000000,13500,0.63824,285.412,8616.24
2325,3423909,3423909 - 2325,7828763,56000000,3000,0.24711666666666668,105.662,741.35
2325,3424402,3424402 - 2325,7828763,90000000,18600,0.2746179166666667,105.66699999999999,5107.89325
2326,3403208,3403208 - 2326,5788209,90000000,2617203,0.7048193186003684,270.955,1844655.23509884
2326,3423909,3423909 - 2326,5788209,56000000,1531203,0.2998950058833417,91.205,459200.1326935905
2326,3424402,3424402 - 2326,5788209,90000000,1775403,0.287697645522388,107.82800000000002,510779.26295338426
2327,3403208,3403208 - 2327,11836544,90000000,6618172,0.7276457055898491,277.216,4815684.434654983
2327,3423909,3423909 - 2327,11836544,56000000,5232772,0.2806403333333333,106.977,1468526.8783373332
2327,3424402,3424402 - 2327,11836544,90000000,14700,0.214777,105.44,3157.2219
2328,3403208,3403208 - 2328,6145143,90000000,1653481,0.7282145728114479,284.644,1204088.9600668456
2328,3423909,3423909 - 2328,6145143,56000000,2976481,0.313381117444095,108.678,932772.9418311174
2328,3424402,3424402 - 2328,6145143,90000000,1627981,0.3103678440437664,120.63799999999999,505272.9531142148
2329,3403208,3403208 - 2329,13860432,90000000,6123816,0.7630083333333333,291.699,4672522.6398
2329,3423909,3423909 - 2329,13860432,56000000,7759116,0.32755940343745543,115.733,2541571.4081620155
2329,3424402,3424402 - 2329,13860432,90000000,10500,0.2733835416666667,113.122,2870.5271875
2330,3403208,3403208 - 2330,3482379,90000000,22200,0.7639377272727272,303.713,16959.417545454544
2330,3423909,3423909 - 2330,3482379,56000000,3470979,0.4370946433030141,161.745,1517146.3279172527
2330,3424402,3424402 - 2330,3482379,90000000,12300,0.29639063492063494,95.012,3645.6048095238098
2331,3403208,3403208 - 2331,4084642,90000000,1298700,0.7020132844733985,269.467,911704.6525456026
