Mes.Base,Ano.Exec,Veiculo,CO.Cliente,CO.Fabrica,rota,cod_rota,Qtd.Transp,Vlr.Frete,km_api,custo/km,custo/unid,qtd_max_veiculo,num_viagens,qtd_max_transp,taxa_ocupacao
1,2023,P12,2301,3403208,ARARAQUARA - VALINHOS,3403208-2301,176700,0.0,193.55000000000004,0.0,0.0,1800.0,111.0,199800.0,0.8843843843843844
1,2023,P12,2301,3424402,JACAREI - VALINHOS,3424402-2301,216900,15318.63,145.62,0.779229043629538,0.06962496296296296,1800.0,135.0,243000.0,0.8925925925925926
1,2023,P12,2302,3403208,ARARAQUARA - CAMPINAS,3403208-2302,163200,0.0,182.669,0.0,0.0,1800.0,102.0,183600.0,0.8888888888888888
1,2023,P12,2302,3424402,JACAREI - CAMPINAS,3424402-2302,227700,33941.95,141.311,1.6680087616046244,0.14961041666666666,1800.0,144.0,259200.0,0.8784722222222222
1,2023,P12,2303,3403208,ARARAQUARA - CAMPINAS,3403208-2303,221400,0.0,187.278,0.0,0.0,1800.0,137.0,246600.0,0.8978102189781022
1,2023,P12,2303,3424402,JACAREI - CAMPINAS,3424402-2303,204600,0.0,141.46,0.0,0.0,1800.0,129.0,232200.0,0.8811369509043928
1,2023,P12,2305,3403208,ARARAQUARA - CAMPINAS,3403208-2305,39900,11652.43,180.19300000000004,2.586655419466905,0.2868819111111111,1800.0,25.0,45000.0,0.8866666666666667
1,2023,P12,2305,3423909,ITU - CAMPINAS,3423909-2305,61800,9526.9,71.375,3.422479680273025,0.1604940740740741,1800.0,39.0,70200.0,0.8803418803418803
1,2023,P12,2305,3424402,JACAREI - CAMPINAS,3424402-2305,129000,47288.92,147.748,3.9514161082416948,0.3681179972565158,1800.0,81.0,145800.0,0.8847736625514403
1,2023,P12,2306,3403208,ARARAQUARA - VALINHOS,3403208-2306,40200,8038.58,194.21100000000004,1.5919600529638063,0.20153098290598292,1800.0,26.0,46800.0,0.8589743589743589
1,2023,P12,2306,3424402,JACAREI - VALINHOS,3424402-2306,62100,8980.64,138.681,1.6604496687565022,0.1421397150997151,1800.0,39.0,70200.0,0.8846153846153846
1,2023,P12,2307,3403208,ARARAQUARA - CAMPINAS,3403208-2307,48300,0.0,183.626,0.0,0.0,1800.0,31.0,55800.0,0.8655913978494624
1,2023,P12,2307,3424402,JACAREI - CAMPINAS,3424402-2307,120300,30515.11,146.178,2.7467512571191146,0.2475614912280702,1800.0,76.0,136800.0,0.8793859649122807
1,2023,P12,2308,3403208,ARARAQUARA - CAMPINAS,3403208-2308,39900,8194.94,195.864,1.6735980067802148,0.20422200000000001,1800.0,25.0,45000.0,0.8866666666666667
1,2023,P12,2308,3423909,ITU - CAMPINAS,3423909-2308,78600,10757.07,72.623,2.962441650716715,0.1397476888888889,1800.0,50.0,90000.0,0.8733333333333333
1,2023,P12,2308,3424402,JACAREI - CAMPINAS,3424402-2308,51900,8630.48,137.757,1.8984857173842127,0.16628686868686868,1800.0,33.0,59400.0,0.8737373737373737
1,2023,P12,2309,3424402,JACAREI - AMERICANA,3424402-2309,141900,79571.02,175.727,5.087757740668093,0.5605111610486891,1800.0,89.0,160200.0,0.8857677902621723
1,2023,P12,2310,3403208,ARARAQUARA - SAO PAULO,3403208-2310,1500,0.0,269.701,0.0,0.0,1500.0,1.0,1500.0,1.0
1,2023,P12,2310,3423909,ITU - SAO PAULO,3423909-2310,95700,32654.979999999996,101.813,5.345581278094808,0.3422357037037037,1800.0,60.0,108000.0,0.8861111111111111
1,2023,P12,2311,3403208,ARARAQUARA - PIRACICABA,3403208-2311,63900,11026.16,138.038,2.0481465341576324,0.1748307692307692,1800.0,39.0,70200.0,0.9102564102564102
1,2023,P12,2311,3423909,ITU - PIRACICABA,3423909-2311,52800,5038.35,71.15,2.1458506356608957,0.09760313131313132,1800.0,33.0,59400.0,0.8888888888888888
1,2023,P12,2311,3424402,JACAREI - PIRACICABA,3424402-2311,101400,41940.39,208.774,3.1887135188791524,0.4142674955908289,1800.0,63.0,113400.0,0.8941798941798942
